Date,Close
Aug 29 2010,74.6
Sep 05 2010,76.45
Sep 12 2010,73.66
Sep 19 2010,76.49
Sep 26 2010,81.58
Oct 03 2010,82.66
Oct 10 2010,81.25
Oct 17 2010,81.69
Oct 24 2010,81.43
Oct 31 2010,86.85
Nov 07 2010,84.88
Nov 14 2010,81.51
Nov 21 2010,83.76
Nov 28 2010,89.19
Dec 05 2010,87.79
Dec 12 2010,88.02
Dec 19 2010,91.51
Dec 26 2010,91.38
Jan 02 2011,88.03
Jan 09 2011,91.54
Jan 16 2011,89.11
Jan 23 2011,89.34
Jan 30 2011,89.03
Feb 06 2011,85.58
Feb 13 2011,86.2
Feb 20 2011,97.88
Feb 27 2011,104.42
Mar 06 2011,101.16
Mar 13 2011,101.07
Mar 20 2011,105.4
Mar 27 2011,107.94
Apr 03 2011,112.79
Apr 10 2011,109.66
Apr 17 2011,112.29
Apr 24 2011,113.93
May 01 2011,97.18
May 08 2011,99.65
May 15 2011,99.49
May 22 2011,100.59
May 29 2011,100.22
Jun 05 2011,99.29
Jun 12 2011,93.01
Jun 19 2011,91.16
Jun 26 2011,94.94
Jul 03 2011,96.2
Jul 10 2011,97.24
Jul 17 2011,99.87
Jul 24 2011,95.7
Jul 31 2011,86.88
Aug 07 2011,85.38
Aug 14 2011,82.26
Aug 21 2011,85.37
Aug 28 2011,86.45
Sep 04 2011,87.24
Sep 11 2011,87.96
Sep 18 2011,79.85
Sep 25 2011,79.2
Oct 02 2011,82.98
Oct 09 2011,86.8
Oct 16 2011,87.4
Oct 23 2011,93.32
Oct 30 2011,94.26
Nov 06 2011,98.99
Nov 13 2011,97.41
Nov 20 2011,96.77
Nov 27 2011,100.96
Dec 04 2011,99.41
Dec 11 2011,93.53
Dec 18 2011,99.68
Dec 25 2011,98.83
Jan 01 2012,101.56
Jan 08 2012,98.7
Jan 15 2012,98.46
Jan 22 2012,99.56
Jan 29 2012,97.84
Feb 05 2012,98.67
Feb 12 2012,103.24
Feb 19 2012,109.77
Feb 26 2012,106.7
Mar 04 2012,107.4
Mar 11 2012,107.06
Mar 18 2012,106.87
Mar 25 2012,103.02
Apr 01 2012,103.31
Apr 08 2012,102.83
Apr 15 2012,103.05
Apr 22 2012,104.93
Apr 29 2012,98.49
May 06 2012,96.13
May 13 2012,91.48
May 20 2012,90.86
May 27 2012,83.23
Jun 03 2012,84.1
Jun 10 2012,84.03
Jun 17 2012,79.76
Jun 24 2012,84.96
