Date,Open,High,Low,Close,Adj Close,Volume
2003-06-28,9594.940430,9705.629883,9512.200195,9636.809570,9636.809570,888046000
2003-07-05,9683.809570,10086.450195,9637.900391,9911.500000,9911.500000,1353389000
2003-07-12,9990.889648,10236.889648,9980.250000,10140.839844,10140.839844,1985032400
2003-07-19,10189.150391,10203.349609,9864.450195,9939.200195,9939.200195,936450200
2003-07-26,10031.240234,10292.769531,10031.240234,10248.599609,10248.599609,1413304200
2003-08-02,10208.129883,10291.000000,9924.139648,9945.219727,9945.219727,1136120200
2003-08-09,9983.879883,10434.490234,9978.990234,10424.559570,10424.559570,1217285200
2003-08-16,10457.349609,10768.639648,10424.389648,10760.730469,10760.730469,1757522200
2003-08-23,10733.120117,10934.519531,10629.889648,10908.990234,10908.990234,1557931000
2003-08-30,10937.790039,11198.959961,10879.440430,11170.610352,11170.610352,1588629800
2003-09-06,11126.309570,11242.150391,10762.030273,10883.519531,10883.519531,1186161000
2003-09-13,10952.580078,11204.870117,10871.589844,10968.419922,10968.419922,1647988800
2003-09-20,10920.030273,11444.719727,10822.559570,11290.150391,11290.150391,1996429400
2003-09-27,11256.059570,11652.400391,11104.339844,11608.719727,11608.719727,1742322400
2003-10-04,11715.910156,11958.389648,11624.370117,11935.830078,11935.830078,2037199200
2003-10-11,11957.379883,12104.889648,11831.580078,12044.490234,12044.490234,1557990600
2003-10-18,11985.400391,12297.459961,11558.110352,11736.370117,11736.370117,2068389800
2003-10-25,11749.870117,12304.570313,11678.200195,12190.099609,12190.099609,1620559000
2003-11-01,12222.440430,12537.190430,12059.969727,12215.169922,12215.169922,1407157200
2003-11-08,12224.790039,12281.349609,11872.440430,12203.530273,12203.530273,1039959400
2003-11-15,11950.480469,12049.530273,11661.469727,11839.799805,11839.799805,1292650600
2003-11-22,11854.969727,12339.940430,11793.820313,12317.469727,12317.469727,972760800
2003-11-29,12306.259766,12539.000000,12236.240234,12314.730469,12314.730469,1085116400
2003-12-06,12214.190430,12674.080078,12124.000000,12594.419922,12594.419922,1090313000
2003-12-13,12705.419922,12740.500000,12111.230469,12371.750000,12371.750000,2746858600
2003-12-20,12422.320313,12545.040039,12405.639648,12456.700195,12456.700195,524162200
2003-12-27,12443.559570,12815.080078,12336.730469,12801.480469,12801.480469,863899000
2004-01-03,12844.589844,13405.339844,12763.099609,13385.799805,13385.799805,2322579800
2004-01-10,13315.290039,13446.759766,13136.919922,13167.759766,13167.759766,1635198400
2004-01-17,13187.000000,13776.849609,13098.259766,13750.580078,13750.580078,989326200
2004-01-24,13756.759766,13780.709961,13168.429688,13289.370117,13289.370117,2167874600
2004-01-31,13158.259766,13320.849609,12877.089844,13309.599609,13309.599609,1390483400
2004-02-07,13437.209961,13744.379883,13437.209961,13739.799805,13739.799805,1664314200
2004-02-14,13727.969727,13984.379883,13712.599609,13868.370117,13868.370117,1536808000
2004-02-21,13849.679688,13934.750000,13560.849609,13907.030273,13907.030273,1346207000
2004-02-28,14021.360352,14058.209961,13402.669922,13454.759766,13454.759766,1352324400
2004-03-06,13549.940430,13677.679688,12730.490234,12932.230469,12932.230469,1901877800
2004-03-13,13002.320313,13075.959961,12715.969727,12790.580078,12790.580078,1335445200
2004-03-20,12593.419922,12699.339844,12424.379883,12483.240234,12483.240234,1623360000
2004-03-27,12493.360352,12763.049805,12400.349609,12731.759766,12731.759766,1360090200
2004-04-03,12886.110352,12979.740234,12833.280273,12909.370117,12909.370117,869923000
2004-04-10,13015.240234,13126.150391,12358.459961,12458.379883,12458.379883,1678907600
2004-04-17,12452.000000,12514.849609,12091.259766,12383.940430,12383.940430,1609462600
2004-04-24,12304.870117,12309.459961,11856.339844,11942.959961,11942.959961,1618702400
2004-05-01,11876.200195,12154.179688,11835.259766,11910.759766,11910.759766,1380431800
2004-05-08,11704.250000,11704.250000,11245.660156,11276.860352,11276.860352,1779387200
2004-05-15,11207.250000,11602.269531,10917.650391,11576.009766,11576.009766,1936314200
2004-05-22,11584.429688,12222.259766,11512.610352,12116.870117,12116.870117,1276439200
2004-05-29,12081.679688,12253.259766,11844.709961,12022.639648,12022.639648,1241081000
2004-06-05,12258.719727,12463.259766,12233.889648,12396.389648,12396.389648,1458012600
2004-06-12,12430.200195,12538.650391,11789.450195,11855.549805,11855.549805,1358698800
2004-06-19,11997.320313,12207.120117,11781.820313,12185.519531,12185.519531,1063343400
2004-06-26,12142.360352,12328.480469,12037.959961,12220.129883,12220.129883,952339600
2004-07-03,12160.219727,12345.179688,12114.910156,12202.259766,12202.259766,1029066600
2004-07-10,12227.549805,12267.910156,11862.679688,12059.200195,12059.200195,1020323200
2004-07-17,12079.429688,12399.370117,12033.219727,12352.990234,12352.990234,1209064800
2004-07-24,12242.599609,12382.030273,12084.679688,12238.030273,12238.030273,1039158600
2004-07-31,12233.629883,12518.549805,12131.759766,12478.679688,12478.679688,1317930000
2004-08-07,12420.730469,12534.639648,12271.889648,12359.830078,12359.830078,1149669000
2004-08-14,12320.769531,12428.769531,12150.709961,12376.900391,12376.900391,1086693400
2004-08-21,12413.769531,12898.019531,12385.750000,12818.419922,12818.419922,1685573200
2004-08-28,12806.639648,13088.419922,12802.129883,12948.099609,12948.099609,1292435400
2004-09-04,12964.700195,13190.389648,12865.059570,13003.990234,13003.990234,1577668000
2004-09-11,13079.389648,13254.209961,13007.629883,13224.929688,13224.929688,1970636600
2004-09-18,13236.480469,13356.879883,13035.160156,13066.839844,13066.839844,2226709800
